questions	answers
Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?	South African anti-apartheid activists.
Where was the place of death of the director of film Beat Girl?	Rodrigo's childhood friend Dermot Mulroney as Andrew Walsh as Alessandra.
Who died first, Fleetwood Sheppard or George William Whitaker?	William Henry Harrison was a vice president.
Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?	Joan of Arc
When did Jean Martin (Singer)'s husband die?	"James Marshall ""Jimi"" Hendrix"
Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?	[Final Answer]: The Daltons' Women.
Which film was released earlier, Moment Of Danger or The Ballad Of Josie?	The Ballad Of Josie
What nationality is the director of film World And Time Enough?	Lesley M. M. Blume as the best woman to roll a 300 game on American national television.
Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?	[Final Answer]: Poker In Bed.
Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?	PBA Women's Series.
Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?	American television coverage.
Who is Marie Zéphyrine Of France's paternal grandmother?	disastrous effects on French popular opinion.
Which film has the director died earlier, Condemned Women or Faces In The Dark?	Faces In The Dark
Who is the spouse of the director of film Eden And After?	Monica Leon 21 11! Episode 7
Where was the place of death of Anastasia Of Serbia's husband?	Centurione II Zaccaria was installed as Prince of Achaea by Ladislaus of Naples in 1404 and was the last ruler of the Latin Empire not under Byzantine suzerainty.
Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?	No.
Which film was released more recently, Lo Zappatore or Placer Sangriento?	Lo Zappatore
Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?	[Final Answer]: Gwenc'Hlan Le Scouzec
Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?	South Africans' most important crimes.
Who is Cornelia (Wife Of Caesar)'s child-in-law?	Andy Serkis as Caesar, an intelligent common chimpanzee who is leader to a tribe of genetically enhanced apes.
Why did John Middleton Murry's wife die?	Anne Murray, Duchess of Atholl ( 17 June 1814 – 22 May 1897) was born Anne Home- Drummond and known as The Lady Glen.
Who is the paternal grandfather of Taj Al-Dawla?	Pam's breastfeeding is not good, and although a male lactation consultant (Lee Kirk, Jenna Fischer's husband, and at that time Jenna's fiance) is summoned to provide apparently successful coaching, Cecelia still fails to latch ''properly.
Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?	[Final Answer]: no.
What is the place of birth of the director of film And The Spring Comes?	[Final Answer]: Kyrgyzstan.
Who died first, Madame Pasca or James A. Donohoe?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
Who was born later, D'Arcy Coulson or Thomas William Adams?	Irish Parliament.
Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?	[Final Answer]: No.
Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?	South Africa.
Which film whose director was born first, 45 Fathers or The Intended?	Jesuits were a great source of inspiration.
Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?	Fisher and Schwartz were expelled from the ACBL.
Where was the husband of Caterina Visconti born?	Caterina Visconti was the second wife of Gian Maria Visconti.
Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?	When Were You Born
Who was born first, John Beach or Gordon Persons?	Chase wins the B/SR title.
Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?	Charlie Chan In Honolulu
Who is the child of the director of film La Leona (Film)?	[Final Answer]: Monica Leon
Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?	Johann von der Leyen (born 8 October 1958) is a German composer and composer.
Who lived longer, Giuseppe Cesari or Nicos Poulantzas?	Acerronia was reclining over the feet of Agrippina as she lay
Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?	"Midnight Rider: The Gregg Allman Story"""
Who is older, Aryeh Ben-Eliezer or Jason Pociask?	The film was based on the novel by Lenny and Roxanne.
Where does the director of film Man At Bath work at?	[Final Answer]: Tehran.
Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?	Philip Gore, 4th Earl of Arran PC (Ire) (1703 – 17 April 1773), known as Sir Arthur Gore, 3rd Baronet from 1741 to 1757 and as Viscount Sudley from 1758 to 1762, was an Irish politician.
Are both Kaufland and Otrag located in the same country?	no
Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
Where was the father of Lord Patrick Crichton-Stuart born?	John Stuart, Lord Mount Stuart, eldest son of John Stuart, 1st Marquess of Bute, son of Prime Minister John Stuart, 3rd Earl of Bute.
Which country the director of film Daadagiri is from?	Kenya.
Where was the wife of Douglas Leiterman born?	Michelle Feldman was named 2002 PWBA Player of the Year, and was also honored as the Bowling Digest Bowler of the Year in 2002.
What is the place of birth of the performer of song Who...?	London
Where was the place of death of the director of film Mole Men Against The Son Of Hercules?	Cairo
Where was the father of Alexandre Gaydamak born?	Pope John VIII died on 4 Paon
Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?	Boum Sur Paris
Who is Gaston, Duke Of Orléans's paternal grandmother?	Anne Murray.
Where was the director of film The Half-Way Girl born?	Auburn, NY.
Where was the place of death of Lambert I, Count Of Louvain's father?	Breda.
Where was the director of film Highway Dragnet born?	Lexington, Missouri.
Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?	Maurice of Orange was published in 1766.
What is the award that the performer of song Sunday Papers earned?	The Associated Press NFL Rookie of the Year Award.
Which film has the director born first, Antonieta or Dodging The Dole?	A Tale from the Past
Are both Nikolsk Airport and Svobodny Airport located in the same country?	No.
Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?	Hugh I
Are both businesses, Telus and Ztr Control Systems, located in the same country?	no
Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?	no
Who is older, Dyson Parody or Gene Watson?	""" and ""The Last Picture Show""."
Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?	[Final Answer]: No.
When did Prince John Konstantinovich Of Russia's mother die?	""", she was a member of the Ilkley Ladies' Belgian Hospitality Committee."
Which country Audofleda's husband is from?	Michelle Feldman
What is the place of birth of the director of film Letter To The King?	Congregation of Faith.
Are both bands, Snowman (Band) and Jessamine (Band), from the same country?	no
Where was the performer of song God (John Lennon Song) born?	John McKenzie.
Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?	[Final Answer]: Relax Freddie.
Which song was released more recently, Go Ahead And Break My Heart or Knee Deep In My Heart?	Final Answer: [Final Answer]: [Final Answer]: Don't Go Breaking My Heart.
Which film has the director who died later, The Fatal Mistake or The Devil'S Hairpin?	[Final Answer]: The Devil'S Hairpin.
Who is Maria Luisa Of Savoy's father-in-law?	"The Avengers""."
Who is the paternal grandfather of Kujō Yoritsugu?	Liu Hongdu
What is the place of birth of the director of film Marianela (1940 Film)?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?	She Wore A Yellow Ribbon
Who lived longer, Edward Dearle or Michael Doeberl?	He was the leader of the Country Party from 1921 to 1939.
Where does Karin Stoltenberg's husband work at?	Windsor Locks, Connecticut Television.
Where was the director of film Lettre Ouverte born?	Answer: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [
Who is William Ii, Count Of Flanders's paternal grandmother?	William Fitz Duncan (a modern anglicisation of the Old French Guillaume fils de Duncan and the Middle Irish Uilleam mac Donnchada) was a Scottish prince, a territorial magnate in northern Scotland and northern England, a general and the legitimate son of king Donnchad II of Scotland by Athelreda (Ethelreda) of Dunbar.
What is the place of birth of Clara Novello's father?	Peter.
Which film came out earlier, Emmy Of Stork'S Nest or Indira Vizha?	Sanjay Leela Bhansali's order.
Which film came out first, Celine: Through The Eyes Of The World or Dilan 1991?	Dilan 1991
Who was born earlier, Silas Hardy or Lee Mantle?	Clive Rees to retire from rugby.
Where was the place of burial of Albert Frederick, Duke Of Prussia's mother?	[Final Answer]: St Catherine's.
Where was the place of death of Juan Carlos Gumucio's wife?	Lucius Valerius Flaccus.
Who is the father of the director of film Gramps Is In The Resistance?	Rodrigo and his family won the championship.
What is the place of birth of the performer of song Heaven (Namie Amuro Song)?	Eurovision Song Contest 1994.
What nationality is Philip Of Ibelin (1180–1227)'s mother?	[Final Answer]: Czech.
Who was born later, Joseph J. Magliocco or Viktoriya Zeynep Güneş?	Gwen John was a model for the Welsh artists Gwen John and Augustus John.
